orderId,orderNumber,orderDate,orderStatus,shipToCity,shipToState,itemIndex,itemName,itemSku,itemQty,itemUnitPrice,currentCustomsDesc,currentCustomsHS,currentCustomsQty,currentCustomsValue,suggestedDesc,suggestedHS,matchMethod,productTypeDetected
623395968,52471,2025-09-01,awaiting_shipment,CHATTANOOGA,TN,0,"Undated Vertical Weekly Planner (12-Month, Hardcover, 120gsm) - Moonflower",VPL-MON-UHC,1,72.82,Planner agenda (bound diary),4820102010,1,72.82,Planner agenda (bound diary),4820102010,HS_planner,planner
623369922,52467,2025-09-01,awaiting_shipment,JAFFREY,NH,0,Time Management Stickers - Lakeside,AC-TM-LA,1,6.87,Paper sticker,4911998000,1,6.87,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,2025 Minimalist Planner B5 (imperfect) - Enchanted Forest - Minor Cover Imperfections,25-MIN-B5-ECF-IM,1,35.03,Planner agenda (bound diary),4820102010,1,35.03,Planner agenda (bound diary),4820102010,HS_planner,planner
623353055,52465,2025-09-01,awaiting_shipment,ANN ARBOR,MI,0,Undated Weekly Planner - Marigold,UW-SC-23-HY,1,42.62,Planner agenda (bound diary),4820102010,1,42.62,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,AMANDASFAVORITES,,1,-4.26,,,,,,,NONE,
623338565,52461,2025-08-31,awaiting_shipment,BOWLING GREEN,KY,0,Undated Weekly Planner - Aster,UW-SC-23-AR,1,42.59,Planner agenda (bound diary),4820102010,1,42.59,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,DEBBIE10,,1,-4.26,,,,,,,NONE,
623296980,52454,2025-08-31,awaiting_shipment,ORANGE,CA,0,"Undated Vertical Weekly Planner (12-Month, Hardcover, 120gsm) - Charbon",VPL-CHB-UHC,1,72.79,Planner agenda (bound diary),4820102010,1,72.79,Planner agenda (bound diary),4820102010,HS_planner,planner
623296977,52457,2025-08-31,awaiting_shipment,ELK GROVE,CA,0,Undated Weekly Planner - Marigold,UW-SC-23-HY,1,42.58,Planner agenda (bound diary),4820102010,1,42.58,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,joyful10,,1,-4.26,,,,,,,NONE,
623263089,52442,2025-08-31,awaiting_shipment,UNION CITY,CA,0,"Dotted Notebook (No Foil, Hardcover, 150gsm) - B5 / Woodlands",DOT-WDL-HB5,1,56.32,"Notebook (sewn journal, B5 size)",4820102030,1,56.32,"Notebook (sewn journal, B5 size)",4820102030,HS_notebook-b5,notebook-b5
,,,,,,1,"Graph Notebook (No Foil, Hardcover, 150gsm) - A5 / Charbon",GRP-CHB-HA5,1,49.45,Notebook (bound journal),4820102060,1,49.45,Notebook (bound journal),4820102060,HS_notebook,notebook
622714180,52335,2025-08-30,awaiting_shipment,NASHVILLE,TN,0,Monthly Tabs - Blossomfield,AC-TB-EB-24,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,Undated Weekly Planner - Marigold,UW-SC-23-HY,1,42.61,Planner agenda (bound diary),4820102010,1,42.61,Planner agenda (bound diary),4820102010,HS_planner,planner
622569779,52307,2025-08-29,awaiting_shipment,LAS VEGAS,NV,0,"Undated Daily Planner (6-Month, Hardcover, 120gsm) - Scarlet Oak",DPL-SCA-UHC,1,75.56,Planner agenda (bound diary),4820102010,1,75.56,Planner agenda (bound diary),4820102010,HS_planner,planner
623747465,52522,2025-09-01,awaiting_shipment,GRANITEVILLE,VT,0,2025 Minimalist Weekly Planner (A5) - Toile de Lin,25-MIN-A5-TDL,2,35.53,Planner agenda (bound diary),4820102010,2,35.53,Planner agenda (bound diary),4820102010,HS_planner,planner
623683110,52509,2025-09-01,awaiting_shipment,CORAL GABLES,FL,0,Highlight Stickers - Blossomfield,AC-HI-LR,1,6.88,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,Habit Stickies,STCK-HABIT,1,9.63,Sticky notepad,4820102020,1,9.63,Sticky notepad,4820102020,HS_sticky,sticky
,,,,,,2,Square Bullet Stickers - Rosewood,STK-SQB-RWO,1,6.88,Paper sticker,4911998000,1,4.13,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,3,Highlight Stickers - Marigold,STK-HLT-MRG,1,4.13,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,4,Highlight Stickers - Moonflower,AC-HI-MO,1,6.88,Paper sticker,4911998000,1,5.5,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,5,Lists - Top Three Stickers,LIST-DEF,1,5.5,Paper sticker,4911998000,1,5.5,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,6,Hydration Stickers,HYDR-DEF,1,5.5,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
623646519,52502,2025-09-01,awaiting_shipment,FRANKLIN,NC,0,"Undated Horizontal Weekly Planner (12-Month, Cloth Flex, 120gsm) - Moonflower",HPL-MON-UCF,1,72.88,Planner agenda (bound diary),4820102010,1,72.88,Planner agenda (bound diary),4820102010,HS_planner,planner
623646506,52508,2025-09-01,awaiting_shipment,LANSING,MI,0,"Undated Horizontal Weekly Planner (12-Month, Hardcover, 120gsm) - Wild Indigo",HPL-WIL-UHC,1,72.88,Planner agenda (bound diary),4820102010,1,72.88,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,HEBAALSIBAI10,,1,-7.29,,,,,,,NONE,
623646492,52505,2025-09-01,awaiting_shipment,CORTLAND,NY,0,Monthly Tabs - Charbon,AC-TB-CH-24,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,"Undated Vertical Weekly Planner (12-Month, Hardcover, 120gsm) - Charbon",VPL-CHB-UHC,1,72.88,Planner agenda (bound diary),4820102010,1,72.88,Planner agenda (bound diary),4820102010,HS_planner,planner
623609405,52501,2025-09-01,awaiting_shipment,DRAPER,UT,0,"Graph Notebook (No Foil, Hardcover, 150gsm) - B5 / Wild Indigo",GRP-WDI-HB5,1,56.38,"Notebook (sewn journal, B5 size)",4820102030,1,56.38,"Notebook (sewn journal, B5 size)",4820102030,HS_notebook-b5,notebook-b5
621865716,52219,2025-08-28,awaiting_shipment,BLAIN,PA,0,Monthly Tabs - Rivière,MTH-RIV-25,1,8.27,Paper sticker,4911998000,1,8.27,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,"2026 Weekly & Daily Planner (Hardcover, 70gsm) - Rivière",2026Q4-COMBO-HARD-RIV,1,103.36,Planner agenda (bound diary),4820102010,1,103.36,Planner agenda (bound diary),4820102010,HS_planner,planner
622858881,52361,2025-08-30,awaiting_shipment,OROVILLE,CA,0,"2026 Weekly & Daily Planner (Hardcover, 70gsm) - Blossomfield",2026Q4-COMBO-HARD-BLF,1,104.44,Planner agenda (bound diary),4820102010,1,104.44,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,"Rose Garden Graph Notebook (150gsm, Hardcover) - A5 / Blossomfield",GRP-RIV-HA5-ROG,1,49.47,Notebook (bound journal),4820102060,1,49.47,Notebook (bound journal),4820102060,HS_notebook,notebook
,,,,,,2,DEBBIE10,,1,-15.39,,,,,,,NONE,
623800277,52530,2025-09-01,awaiting_shipment,SEATAC,WA,0,2026 A5 Minimalist Vertical Planner (Hardcover) - Charbon,2026Q4-A5MIN-V-HARD-CHB,1,72.82,Planner agenda (bound diary),4820102010,1,72.82,Planner agenda (bound diary),4820102010,HS_planner,planner
623800280,52533,2025-09-01,awaiting_shipment,SEATTLE,WA,0,Priority Flow Notepad,NP-PF,1,15.13,Notepad,4820102020,1,15.13,Notepad,4820102020,HS_notepad,notepad
,,,,,,1,Weekly Habit Tracker Notepad,NP-WT,1,9.63,Notepad,4820102020,1,9.63,Notepad,4820102020,HS_notepad,notepad
,,,,,,2,Monthly Tabs - Rivière,MTH-RIV-25,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,3,2026 Weekly Planner (Hardcover) - Fawn,2026Q4-WEEKLY-HARD-FWN,1,72.91,Planner agenda (bound diary),4820102010,1,72.91,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,4,Undated Weekly Planner - Oak,UW-SC-23-OK,1,38.52,Planner agenda (bound diary),4820102010,1,38.52,Planner agenda (bound diary),4820102010,HS_planner,planner
623800282,52531,2025-09-01,awaiting_shipment,FONTANA,CA,0,"2026 Weekly & Daily Planner (Hardcover, 70gsm) - Blossomfield",2026Q4-COMBO-HARD-BLF,1,124.96,Planner agenda (bound diary),4820102010,1,124.96,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,Monthly Tabs - Blossomfield,AC-TB-EB-24,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
623775155,52528,2025-09-01,awaiting_shipment,MAGNOLIA,TX,0,2026 Daily Planner (Hardcover) - Plum Grove,2026Q4-DAILY-HARD-PLG,1,127.62,Planner agenda (bound diary),4820102010,1,127.62,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,Monthly Tabs - Plum Grove,MNT-PLG-25,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,2,Monthly Tabs - Blossomfield,AC-TB-EB-24,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,3,2026 Daily Planner (Hardcover) - Blossomfield,2026Q4-DAILY-HARD-BLF,1,127.62,Planner agenda (bound diary),4820102010,1,127.62,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,4,"Lined Notebook (No Foil, Hardcover, 150gsm) - A5 / Wild Indigo",LIN-WDI-HA5L,1,76.05,Notebook (bound journal),4820102060,1,76.05,Notebook (bound journal),4820102060,HS_notebook,notebook
623775157,52529,2025-09-01,awaiting_shipment,FORT WORTH,TX,0,Habit Stickies,STCK-HABIT,1,9.63,Sticky notepad,4820102020,1,9.63,Sticky notepad,4820102020,HS_sticky,sticky
,,,,,,1,Time Management Stickers - Spring Neutrals,TMG-SNT-25,1,6.88,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,2,Hydration Stickers,HYDR-DEF,1,5.5,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,3,Highlight Stickers - Toile de Lin,AC-HI-TDL,1,6.88,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,4,Highlight Stickers - Fawn,STK-HLT-FWN,1,6.88,Paper sticker,4911998000,1,5.5,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,5,2026 A5 Minimalist Vertical Planner (Hardcover) - Woodlands,2026Q4-A5MIN-V-HARD-WDL,1,72.92,Planner agenda (bound diary),4820102010,1,72.92,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,6,Highlight Stickers - Rivière,AC-HI-RI,1,6.88,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
623775159,52527,2025-09-01,awaiting_shipment,ST PETERSBURG,FL,0,"2026 Weekly & Daily Planner (Hardcover, 70gsm) - Rivière",2026Q4-COMBO-HARD-RIV,1,104.42,Planner agenda (bound diary),4820102010,1,104.42,Planner agenda (bound diary),4820102010,HS_planner,planner
623683122,52511,2025-09-01,awaiting_shipment,NORTHAMPTON,MA,0,Monthly Tabs - Blossomfield,AC-TB-EB-24,1,8.24,Paper sticker,4911998000,1,8.24,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,2026 B5 Minimalist Planner (Hardcover) - Wild Indigo,2026Q4-B5MIN-HARD-WDI,1,94.05,Planner agenda (bound diary),4820102010,1,94.05,Planner agenda (bound diary),4820102010,HS_planner,planner
623683148,52510,2025-09-01,awaiting_shipment,WESTLAND,MI,0,Weekly Sticky Notes,STCK-WEEK,1,11,Notepad,4820102020,1,15.13,Sticky notepad,4820102020,HS_sticky,sticky
,,,,,,1,Priority Flow Notepad,NP-PF,1,15.13,Sticky notepad,4820102020,1,11,Notepad,4820102020,HS_notepad,notepad
,,,,,,2,2026 A5 Minimalist Vertical Planner (Hardcover) - Rivière,2026Q4-A5MIN-V-HARD-RIV,1,72.89,Planner agenda (bound diary),4820102010,1,72.89,Planner agenda (bound diary),4820102010,HS_planner,planner
564319314,46970,2025-04-19,awaiting_shipment,DENVER,CO,0,"Undated Weekly & Daily Planner (12-Month, Paper Flex, 70gsm) - Moss",WDP-MOS-UPF7,1,99.74,Planner agenda (bound diary),4820102010,1,99.74,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,"Undated Weekly & Daily Planner (12-Month, Cloth Flex, 70gsm) - Fawn",WDP-FWN-UCF7,1,99.74,Planner agenda (bound diary),4820102010,1,99.74,Planner agenda (bound diary),4820102010,HS_planner,planner
623747455,52523,2025-09-01,awaiting_shipment,CLAREMONT,CA,0,2026 Weekly Planner (Hardcover) - Witching Hour,2026Q4-WEEKLY-HARD-WIT,1,80.01,Planner agenda (bound diary),4820102010,1,80.01,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,SAVE15,,1,-11.99,,,,,,,NONE,
623747479,52525,2025-09-01,awaiting_shipment,ASHTABULA,OH,0,Monthly Tabs - Scarlet Oak,MNT-SCA-25,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,"2026 Weekly & Daily Planner (Paper Flex, 70gsm) - Scarlet Oak",2026Q4-COMBO-PAPER-SCA,1,104.54,Planner agenda (bound diary),4820102010,1,104.54,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,2,SAVE15,,1,-16.92,,,,,,,NONE,
569184184,47164,2025-04-30,awaiting_shipment,RALEIGH,NC,0,Monthly Tabs - Wild Indigo,MNT-WIN-25,1,8.29,Paper sticker,4911998000,1,8.29,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,"Undated Weekly & Daily Planner (12-Month, Hardcover, 70gsm) - Witching Hour",WDP-WIT-UH70,1,114.76,Planner agenda (bound diary),4820102010,1,114.76,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,2,"Three FREE Sticker Sheets - Three sticker sheets will be included with your pre-order, valued at $15.",,1,,Paper sticker,4911998000,1,1,Paper sticker,4911998000,HS_sticker,sticker
569179029,47161,2025-04-30,awaiting_shipment,ANN ARBOR,MI,0,"Undated Weekly & Daily Planner (12-Month, Hardcover, 70gsm) - Snapdragon",WDP-SNP-UH70,1,99.46,Planner agenda (bound diary),4820102010,1,99.46,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,"Hummingbird Dotted Notebook (70 gsm, Hardcover) - A5 / Wild Indigo",DOT-WDI-HA5-HUM70,1,56.64,Notebook (bound journal),4820102060,1,56.64,Notebook (bound journal),4820102060,HS_notebook,notebook
,,,,,,2,"Graph Notebook (No Foil, Cloth Flex, 70gsm) - A5 / Moonflower",GRP-MON-CF7,1,56.64,Notebook (bound journal),4820102060,1,56.64,Notebook (bound journal),4820102060,HS_notebook,notebook
,,,,,,3,"Curious Rabbit Lined Notebook (150gsm, Hardcover) - A5 / Moonflower",LIN-MON-HA5-CUR,1,49.73,Notebook (bound journal),4820102060,1,49.73,Notebook (bound journal),4820102060,HS_notebook,notebook
,,,,,,4,Time Management - Lakeside,AC-TM-LA,1,6.91,Paper sticker,4911998000,1,8.29,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,5,Monthly Tabs - Snapdragon,MNT-SNP-25,1,8.29,Paper sticker,4911998000,1,1,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,6,"Three FREE Sticker Sheets - Three sticker sheets will be included with your pre-order, valued at $15.",,1,,Paper sticker,4911998000,1,6.91,Paper sticker,4911998000,HS_sticker,sticker
623683141,52514,2025-09-01,awaiting_shipment,CHICAGO,IL,0,2026 Daily Planner (Hardcover) - Plum Grove,2026Q4-DAILY-HARD-PLG,1,112.25,Planner agenda (bound diary),4820102010,1,112.25,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,Monthly Tabs - Toile de Lin,AC-TB-TL-24,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,2,SAVE15,,1,-18.07,,,,,,,NONE,
623716005,52516,2025-09-01,awaiting_shipment,TAMPA,FL,0,2026 B5 Minimalist Planner (Hardcover) - Witching Hour,2026Q4-B5MIN-HARD-WIT,1,92.08,Planner agenda (bound diary),4820102010,1,92.08,Planner agenda (bound diary),4820102010,HS_planner,planner
623716004,52519,2025-09-01,awaiting_shipment,PHILADELPHIA,PA,0,Habit Stickies,STCK-HABIT,1,9.62,Sticky notepad,4820102020,1,9.62,Sticky notepad,4820102020,HS_sticky,sticky
,,,,,,1,Monthly Tabs - Blossomfield,AC-TB-EB-24,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,2,"Dotted Notebook (No Foil, Cloth Flex, 150gsm) - A5 / Rivière",DOT-RIV-CFX,1,49.49,Notebook (bound journal),4820102060,1,49.49,Notebook (bound journal),4820102060,HS_notebook,notebook
,,,,,,3,Jardin - Blank Notebook - Aster,NTB-BLNK-AST-AA,1,30.25,Notebook (bound journal),4820102060,1,30.25,Notebook (bound journal),4820102060,HS_notebook,notebook
,,,,,,4,2026 A5 Minimalist Vertical Planner (Cloth Flex) - Rivière,2026Q4-A5MIN-V-CLOTH-RIV,1,72.86,Planner agenda (bound diary),4820102010,1,72.86,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,5,SAVE15,,1,-25.57,,,,,,,NONE,
623715997,52520,2025-09-01,awaiting_shipment,NORFOLK,VA,0,2026 A5 Minimalist Horizontal Planner (Paper Flex) - Charbon,2026Q4-A5MIN-H-PAPER-CHB,1,75.94,Planner agenda (bound diary),4820102010,1,75.94,Planner agenda (bound diary),4820102010,HS_planner,planner
623683151,52512,2025-09-01,awaiting_shipment,ARLINGTON,VA,0,2026 A5 Minimalist Horizontal Planner (Cloth Flex) - Scarlet Oak,2026Q4-A5MIN-H-CLOTH-SCA,1,72.82,Planner agenda (bound diary),4820102010,1,72.82,Planner agenda (bound diary),4820102010,HS_planner,planner
614325991,51116,2025-08-11,awaiting_shipment,CORAL GABLES,FL,0,2026 Horizontal Planner (Hardcover) - Enchanted Forest,2026Q4-HOR-HARD-ENF,1,73.03,Planner agenda (bound diary),4820102010,1,73.03,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,Monthly Tabs - Plum Grove,MNT-PLG-25,1,8.27,Paper sticker,4911998000,1,8.27,Paper sticker,4911998000,HS_sticker,sticker
623646498,52504,2025-09-01,awaiting_shipment,REDWOOD CITY,CA,0,Monthly Tabs - Blossomfield,AC-TB-EB-24,1,8.25,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,2026 A5 Minimalist Horizontal Planner (Hardcover) - Blossomfield,2026Q4-A5MIN-H-HARD-BLF,1,93.28,Planner agenda (bound diary),4820102010,1,93.28,Planner agenda (bound diary),4820102010,HS_planner,planner
622804138,52350,2025-08-30,awaiting_shipment,ROME,GA,0,2026 B5 Minimalist Planner (Hardcover) - Rivière,2026Q4-B5MIN-HARD-RIV,1,94.07,Planner agenda (bound diary),4820102010,1,94.07,Planner agenda (bound diary),4820102010,HS_planner,planner
623609368,52497,2025-09-01,awaiting_shipment,BEDFORD,NH,0,Monthly Tabs - Woodlands,STK-TAB-WDL,1,8.24,Paper sticker,4911998000,1,8.24,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,2026 Weekly Planner (Cloth Flex) - Charbon,2026Q4-WEEKLY-CLOTH-CHB,1,72.82,Planner agenda (bound diary),4820102010,1,72.82,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,2,SAVE15,,1,-12.16,,,,,,,NONE,
623609385,52498,2025-09-01,awaiting_shipment,SUMTER,SC,0,"2026 Weekly & Daily Planner (Hardcover, 70gsm) - Fawn",2026Q4-COMBO-HARD-FWN,1,104.42,Planner agenda (bound diary),4820102010,1,104.42,Planner agenda (bound diary),4820102010,HS_planner,planner
623609392,52495,2025-09-01,awaiting_shipment,SAN DIEGO,CA,0,2026 Weekly Planner (Hardcover) - Blossomfield,2026Q4-WEEKLY-HARD-BLF,1,72.88,Planner agenda (bound diary),4820102010,1,72.88,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,SAVE15,,1,-10.93,,,,,,,NONE,
623539871,52487,2025-09-01,awaiting_shipment,COVINGTON,WA,0,"2026 Weekly & Daily Planner (Hardcover, 70gsm) - Rivière",2026Q4-COMBO-HARD-RIV,1,104.56,Planner agenda (bound diary),4820102010,1,104.56,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,Dotted Notepad,NP-DO,1,12.38,Notepad,4820102020,1,12.38,Notepad,4820102020,HS_notepad,notepad
623576433,52491,2025-09-01,awaiting_shipment,COLORADO SPGS,CO,0,Hydration Stickers,HYDR-DEF,1,5.5,Paper sticker,4911998000,1,5.5,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,Wellness Stickers - Spring Neutrals,WNS-SNS-25,1,6.88,Paper sticker,4911998000,1,8.25,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,2,Time Management Stickers - Lakeside,AC-TM-LA,1,6.88,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,3,"2026 Weekly & Daily Planner (Hardcover, 70gsm) - Rivière",2026Q4-COMBO-HARD-RIV,1,110.64,Planner agenda (bound diary),4820102010,1,110.64,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,4,Monthly Tabs - Snapdragon,MNT-SNP-25,1,8.25,Paper sticker,4911998000,1,6.88,Paper sticker,4911998000,HS_sticker,sticker
623447666,52480,2025-09-01,awaiting_shipment,ROUND HILL,VA,0,Square Bullet Stickers - Enchanted Forest,AC-SM-FE,1,6.87,Paper sticker,4911998000,1,6.87,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,"Luminé - Graph Notebook - TN (4.3"" x 8.3"") / Juniper",NB-JUN-TNX-GPH,2,26.12,Notebook (bound journal),4820102060,2,26.12,Notebook (bound journal),4820102060,HS_notebook,notebook
